         1970505 function calls (1955392 primitive calls) in 100.404 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4   39.850    9.963   39.850    9.963 {method 'acquire' of '_thread.lock' objects}
     1077   15.965    0.015   15.965    0.015 {built-in method io.open_code}
     4218   13.064    0.003   13.064    0.003 {built-in method posix.stat}
     1077   12.851    0.012   12.851    0.012 {method 'read' of '_io.BufferedReader' objects}
     6397    4.939    0.001    4.939    0.001 {built-in method _imp.acquire_lock}
     1077    3.779    0.004   32.596    0.030 <frozen importlib._bootstrap_external>:1034(get_data)
      110    3.459    0.031    3.459    0.031 {built-in method posix.listdir}
   362446    0.635    0.000    0.737    0.000 allowed_functions.py:322(<genexpr>)
     1075    0.631    0.001    0.631    0.001 {built-in method marshal.loads}
   1667/1    0.184    0.000  100.343  100.343 {built-in method builtins.exec}
    275/2    0.167    0.001    1.414    0.707 allowed_functions.py:327(_find_torch_objects)
        8    0.148    0.018    0.148    0.018 {built-in method io.open}
      237    0.146    0.001    0.146    0.001 {built-in method posix.lstat}
      442    0.136    0.000    0.277    0.001 assumptions.py:614(_prepare_class_assumptions)
2285/2239    0.135    0.000    1.052    0.000 {built-in method builtins.__build_class__}
        3    0.127    0.042    0.127    0.042 {built-in method _ctypes.dlopen}
       44    0.127    0.003    0.210    0.005 {built-in method _imp.create_dynamic}
     8668    0.125    0.000    1.116    0.000 allowed_functions.py:241(_is_allowed_module_prefix)
   372510    0.112    0.000    0.112    0.000 {method 'startswith' of 'str' objects}
       10    0.099    0.010    0.099    0.010 {built-in method builtins.print}
    13305    0.092    0.000    0.460    0.000 inspect.py:726(getmodule)
     1075    0.075    0.000    0.714    0.001 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     6481    0.074    0.000    0.814    0.000 {built-in method builtins.any}
        9    0.067    0.007    0.067    0.007 {method 'readline' of '_io.BufferedReader' objects}
    45635    0.067    0.000    0.072    0.000 {built-in method builtins.getattr}
      555    0.061    0.000    0.422    0.001 dataclasses.py:375(_create_fn)
     6032    0.058    0.000    0.075    0.000 conflict.py:12(consistent)
  603/100    0.058    0.000    0.186    0.002 sre_parse.py:493(_parse)
    40095    0.055    0.000    0.056    0.000 {built-in method builtins.hasattr}
    15678    0.053    0.000    0.065    0.000 conflict.py:7(supercedes)
175359/175353    0.050    0.000    0.053    0.000 {built-in method builtins.isinstance}
      631    0.049    0.000    0.268    0.000 inspect.py:3103(signature)
     2134    0.046    0.000    0.066    0.000 functools.py:34(update_wrapper)
     1382    0.046    0.000   12.050    0.009 <frozen importlib._bootstrap_external>:1498(find_spec)
       33    0.046    0.001    0.095    0.003 inspect.py:1970(_signature_fromstr)
     8953    0.046    0.000    0.046    0.000 _config_module.py:142(__getattr__)
    25251    0.046    0.000    0.051    0.000 sre_parse.py:164(__getitem__)
       98    0.044    0.000  316.233    3.227 __init__.py:1(<module>)
     4005    0.040    0.000    0.122    0.000 tokenize.py:429(_tokenize)
     4959    0.040    0.000    0.050    0.000 typing.py:762(__setattr__)
     1076    0.040    0.000   36.755    0.034 <frozen importlib._bootstrap_external>:914(get_code)
   1489/2    0.039    0.000  100.370   50.185 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      151    0.039    0.000    0.045    0.000 enum.py:143(__prepare__)
      180    0.036    0.000    0.038    0.000 _internal.py:870(_ufunc_doc_signature_formatter)
      149    0.033    0.000    0.046    0.000 facts.py:599(deduce_all_facts)
    29104    0.032    0.000    0.032    0.000 assumptions.py:489(as_property)
     1730    0.032    0.000    0.032    0.000 <frozen importlib._bootstrap>:103(release)
3285/3044    0.031    0.000    0.185    0.000 typing.py:255(inner)
   813/92    0.029    0.000    0.050    0.001 sre_compile.py:71(_compile)
      151    0.029    0.000    0.081    0.001 enum.py:157(__new__)
    11917    0.028    0.000    0.030    0.000 sre_parse.py:172(append)
        3    0.027    0.009    0.155    0.052 __init__.py:339(__init__)
     3560    0.027    0.000    0.320    0.000 re.py:289(_compile)
        3    0.026    0.009    0.026    0.009 {built-in method torch._ops.torchvision._cuda_version}
     3709    0.026    0.000    0.054    0.000 inspect.py:654(getfile)
      145    0.025    0.000    0.590    0.004 dataclasses.py:807(_process_class)
     8668    0.025    0.000    0.025    0.000 allowed_functions.py:315(<listcomp>)
     1159    0.024    0.000   13.626    0.012 <frozen importlib._bootstrap>:890(_find_spec)
     2663    0.024    0.000    0.024    0.000 types.py:171(__get__)
   1174/1    0.023    0.000  100.577  100.577 <frozen importlib._bootstrap>:986(_find_and_load)
      608    0.023    0.000    0.084    0.000 inspect.py:2124(_signature_from_function)
     2521    0.023    0.000    0.024    0.000 inspect.py:2821(<genexpr>)
     5715    0.023    0.000    0.024    0.000 utils.py:463(istype)
  609/368    0.022    0.000    0.103    0.000 typing.py:347(__getitem__)
     2152    0.022    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      515    0.022    0.000    0.024    0.000 dataclasses.py:751(_set_new_attribute)
      160    0.022    0.000    0.022    0.000 functools.py:487(lru_cache)
      257    0.022    0.000    0.022    0.000 {method 'copy' of 'dict' objects}
       89    0.021    0.000    0.109    0.001 conflict.py:27(<setcomp>)
      204    0.021    0.000    0.021    0.000 textwrap.py:477(prefixed_lines)
        3    0.021    0.007    0.021    0.007 {function Random.seed at 0xffffa7b29160}
     1552    0.020    0.000    0.027    0.000 typing.py:120(_type_check)
  946/641    0.020    0.000    0.219    0.000 inspect.py:2218(_signature_from_callable)
     1730    0.019    0.000    3.632    0.002 <frozen importlib._bootstrap>:157(_get_module_lock)
    43/19    0.019    0.000    4.449    0.234 {built-in method _imp.exec_dynamic}
     7948    0.019    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.017    0.017   25.070   25.070 symbolic_shapes.py:1(<module>)
    14694    0.017    0.000    0.017    0.000 sre_parse.py:233(__next)
      145    0.017    0.000    0.112    0.001 dataclasses.py:537(_repr_fn)
    16256    0.017    0.000    0.020    0.000 {built-in method builtins.setattr}
     7948    0.017    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
    18470    0.016    0.000    0.021    0.000 inspect.py:63(ismodule)
        1    0.016    0.016    0.016    0.016 client.py:237(HTTPResponse)
     1155    0.016    0.000    0.023    0.000 enum.py:75(__setitem__)
